"lon","lat","waste_t_hr","livestock_t_hr"
-105.050003051758,40.0499992370605,2.084,0.0309
-105.25,39.75,0.5505,0.002099
-104.75,39.6500015258789,0.221,0.001908
-104.449996948242,39.8499984741211,0.1698,0.00516
-104.75,39.8499984741211,0.1574,0.01445
-104.949996948242,39.8499984741211,0.166,0.00058
-104.849998474121,40.3499984741211,0.1002,0.05996
-105.25,39.8499984741211,0.1146,0.00685
-104.75,40.0499992370605,0.002982,0.1117
-104.550003051758,40.1500015258789,0.04293,0.06591
-105.050003051758,39.75,0.1034,0.0002368
-104.949996948242,40.1500015258789,0.004916,0.09614
-104.650001525879,40.1500015258789,8.147e-05,0.0911
-104.550003051758,40.25,2.314e-05,0.08629
-104.849998474121,40.1500015258789,0.002227,0.08286
-104.650001525879,40.25,3.962e-05,0.08211
-104.75,40.1500015258789,8.867e-05,0.07911
-104.650001525879,40.0499992370605,0.003049,0.07514
-104.550003051758,40.0499992370605,4.091e-05,0.07557
-104.849998474121,40.0499992370605,0.006531,0.0635
-104.75,40.3499984741211,0.006833,0.06249
-104.849998474121,40.25,7.283e-05,0.0683
-104.75,40.25,0.002214,0.06543
-104.449996948242,40.1500015258789,1.763e-05,0.06698
-104.550003051758,40.3499984741211,0.0006681,0.06565
-104.449996948242,40.3499984741211,2.199e-05,0.06611
-104.949996948242,40.25,0.0006309,0.06493
-104.949996948242,40.0499992370605,0.002772,0.06207
-104.449996948242,40.0499992370605,3.915e-05,0.05728
-104.650001525879,40.3499984741211,0.01375,0.04343
-104.449996948242,40.25,6.04e-06,0.05619
-105.050003051758,40.1500015258789,0.009564,0.04283
-105.25,39.9500007629395,0.04415,0.006194
-105.050003051758,39.6500015258789,0.04065,0.0003062
-105.050003051758,40.25,0.001614,0.03305
-104.949996948242,40.3499984741211,0.001105,0.03207
-104.949996948242,39.5499992370605,0.03023,0.000468
-105.150001525879,40.0499992370605,0.01531,0.00754
-105.050003051758,40.3499984741211,0.008493,0.01417
-105.150001525879,40.3499984741211,0.001035,0.01924
-104.849998474121,39.5499992370605,0.01881,0.001458
-104.949996948242,39.75,0.01914,0.0004607
-104.849998474121,39.75,0.0173,0.00142
-105.050003051758,39.9500007629395,0.01459,0.004048
-104.75,39.75,0.01118,0.005981
-104.949996948242,39.9500007629395,0.01424,0.002655
-104.849998474121,39.6500015258789,0.01482,0.001883
-104.849998474121,39.9500007629395,0.01016,0.006509
-105.150001525879,40.25,0.003488,0.0118
-105.150001525879,39.9500007629395,0.01078,0.003787
-105.25,40.0499992370605,0.01057,0.003369
-105.050003051758,39.8499984741211,0.01309,0.0006103
-104.550003051758,39.3499984741211,0.0002984,0.01299
-104.650001525879,39.8499984741211,1.716e-07,0.01238
-104.949996948242,39.6500015258789,0.012,0.0001453
-105.150001525879,40.1500015258789,0.005447,0.006607
-105.050003051758,39.5499992370605,0.009038,0.002386
-104.550003051758,39.4500007629395,0.0001482,0.01092
-105.150001525879,39.8499984741211,0.006888,0.003991
-105.150001525879,39.75,0.009056,0.001314
-104.449996948242,39.3499984741211,0.0002394,0.01004
-104.849998474121,39.3499984741211,0.003106,0.007079
-105.25,40.1500015258789,0.0002221,0.009845
-105.449996948242,40.3499984741211,0.001649,0.008395
-104.849998474121,39.8499984741211,0.0007967,0.008655
-104.949996948242,39.3499984741211,0.0005741,0.008605
-104.650001525879,39.4500007629395,0.0005151,0.008488
-104.650001525879,39.3499984741211,0.0003923,0.008522
-105.449996948242,40.25,1.47e-05,0.008839
-104.75,39.5499992370605,0.006889,0.001876
-105.050003051758,39.3499984741211,5.304e-05,0.008586
-104.75,39.4500007629395,0.002536,0.006027
-104.650001525879,39.9500007629395,0.0001798,0.008232
-104.449996948242,39.75,0.002254,0.005974
-105.349998474121,40.25,7.099e-05,0.00808
-104.949996948242,39.25,0.0003849,0.007598
-104.75,39.9500007629395,0.001748,0.006221
-104.650001525879,39.5499992370605,0.0006236,0.007346
-104.550003051758,39.25,5.163e-05,0.007766
-105.150001525879,39.6500015258789,0.005699,0.002039
-105.349998474121,39.6500015258789,0.00202,0.005587
-104.449996948242,39.4500007629395,1.371e-05,0.007374
-104.849998474121,39.4500007629395,0.001605,0.005461
-104.849998474121,39.25,0.0008191,0.006088
-105.150001525879,39.5499992370605,0.002297,0.004609
-104.449996948242,39.25,7.929e-05,0.006647
-104.75,39.25,3.022e-05,0.006356
-105.25,40.25,0.0006471,0.005654
-105.25,40.3499984741211,8.311e-05,0.006142
-104.550003051758,39.5499992370605,0.0001272,0.00605
-104.449996948242,39.5499992370605,3.976e-05,0.006135
-105.050003051758,39.4500007629395,0.0009616,0.005097
-104.449996948242,39.6500015258789,6.224e-05,0.005801
-104.75,39.3499984741211,0.0003562,0.005458
-104.949996948242,39.4500007629395,0.001481,0.003959
-105.349998474121,40.3499984741211,1.549e-05,0.005336
-104.550003051758,39.9500007629395,5.158e-05,0.005152
-104.550003051758,39.8499984741211,2.182e-05,0.00516
-104.449996948242,39.9500007629395,2.517e-05,0.005152
-105.449996948242,39.75,0.001511,0.003655
-105.349998474121,39.5499992370605,0.0007462,0.004236
-104.650001525879,39.25,6.406e-05,0.004779
-105.150001525879,39.4500007629395,3.596e-05,0.004611
-104.550003051758,39.75,5.03e-05,0.004362
-105.449996948242,39.6500015258789,0.0001435,0.003954
-104.650001525879,39.6500015258789,0.000443,0.003558
-105.349998474121,39.8499984741211,5.432e-05,0.003817
-104.650001525879,39.75,2.466e-05,0.003749
-105.349998474121,39.9500007629395,0.000186,0.003535
-105.349998474121,40.0499992370605,0.0003625,0.003325
-105.050003051758,39.25,5.79e-05,0.003599
-105.449996948242,40.1500015258789,7.872e-05,0.003278
-105.449996948242,40.0499992370605,7.2e-05,0.003283
-104.550003051758,39.6500015258789,6.12e-05,0.003272
-105.349998474121,40.1500015258789,3.4e-05,0.003299
-105.25,39.5499992370605,0.0005228,0.002726
-105.349998474121,39.4500007629395,0.0003253,0.002884
-105.25,39.6500015258789,0.0009434,0.002217
-105.25,39.4500007629395,0.0001314,0.002884
-105.25,39.3499984741211,2.032e-05,0.002888
-105.449996948242,39.9500007629395,0.0001858,0.002712
-105.349998474121,39.3499984741211,4.546e-06,0.002888
-105.150001525879,39.3499984741211,2.503e-05,0.002856
-105.150001525879,39.25,5.593e-06,0.00285
-105.25,39.25,1.334e-05,0.002821
-105.349998474121,39.25,6.793e-07,0.002768
-105.349998474121,39.75,0.0001396,0.002491
-105.449996948242,39.4500007629395,0.0005393,0.001764
-105.449996948242,39.5499992370605,5.747e-05,0.002241
-105.449996948242,39.8499984741211,0.0001884,0.001306
-105.449996948242,39.25,1.59e-07,0.0009566
-105.449996948242,39.3499984741211,6.539e-06,0.0004144
