"gate_ppb","n_flights","median_fossil_pct","min_fossil_pct","max_fossil_pct","median_n_points","n_majority_fossil"
5,8,32,5,48,362,0
10,8,35,0,49,241,0
15,7,39,0,51,216,1
20,7,24,0,57,160,2
25,7,34,0,52,156,1
30,6,27,0,53,120,1
40,5,10,0,55,103,1
50,4,28,0,59,77,1
75,2,43,19,67,134,1
100,1,65,65,65,155,1
